,client_number,company_name,order_number,order_amount,order_date,paid,contact_first_name,contact_last_name,email,phone
83,,Rooxo,742325,$1907024.88,3/3/2021,0,,,,
84,,Photobean,273648,$2233224.15,2/22/2022,1,,,,
85,,Thoughtworks,249677,$500736.08,10/3/2020,1,,,,
86,,Youfeed,830394,$2249603.83,3/6/2020,0,,,,
87,,Skipfire,531572,$2061783.70,4/18/2021,0,,,,
88,,Jabberbean,1248,$2719896.62,5/23/2020,1,,,,
89,170.0,Tagfeed,397775,$1991143.06,1/17/2020,1,Dieter,Satchel,dsatchel8@indiatimes.com,932-555-7149
90,171.0,Tagfeed,397775,$1991143.06,1/17/2020,1,Blakelee,O'Scanlon,boscanlon26@imdb.com,834-491-0107
91,,Zooxo,514355,$983468.06,2/10/2021,0,,,,
92,,Shufflester,394046,$1676175.45,12/19/2020,0,,,,
93,120.0,Eare,46028,$118490.43,2/21/2021,1,Bel,Caughan,bcaughanb@cloudflare.com,230-954-5235
94,139.0,Leenti,633012,$876854.53,12/8/2020,0,Leona,Murricanes,lmurricanes1j@surveymonkey.com,114-571-4885
95,,Divavu,485438,$2404594.27,7/10/2020,0,,,,
96,176.0,Twitterbridge,988423,$1306569.31,1/9/2021,1,Harmonia,O'Hederscoll,hohederscollc@mediafire.com,559-170-2232
97,,DabZ,876962,$2423958.37,11/27/2020,1,,,,
98,,Trupe,583681,$2414203.77,6/17/2020,1,,,,
99,,Fanoodle,668327,$538128.43,3/6/2022,1,,,,
100,,Meezzy,603051,$1903449.82,6/8/2020,1,,,,
101,,Vimbo,15607,$1696137.60,2/26/2020,0,,,,
102,,Tazzy,62162,$634123.92,3/18/2020,1,,,,
103,,Chatterpoint,426843,$2937304.85,2/14/2022,0,,,,
104,,Trilia,483867,$2001330.20,2/24/2022,0,,,,
105,,Twinder,454692,$1066813.59,12/10/2021,1,,,,
106,,Rhynyx,35956,$2165815.61,7/22/2020,0,,,,
107,,Jabbercube,855034,$2889074.89,11/1/2020,1,,,,
108,153.0,Photobug,931067,$2270311.53,12/29/2020,1,Pietra,McDill,pmcdillu@usa.gov,260-861-5130
109,,Zooxo,491128,$2308733.29,9/5/2020,0,,,,
110,,Jaloo,956772,$690100.45,1/21/2022,0,,,,
111,,Twitterbeat,410639,$1723930.47,3/21/2021,1,,,,
112,,Lajo,821390,$2962686.42,1/6/2021,0,,,,
113,183.0,Youtags,350777,$784755.76,4/17/2021,0,Traver,Beckford,tbeckford2f@globo.com,728-840-9195
114,,Fliptune,488556,$1535862.65,9/19/2021,0,,,,
115,,Oyoba,920466,$164386.31,11/8/2020,1,,,,
116,,Realbridge,143885,$894259.38,1/30/2022,1,,,,
117,133.0,Jatri,857034,$146986.50,2/5/2021,1,Winonah,Samson,wsamson9@aboutads.info,339-323-8206
118,134.0,Jatri,857034,$146986.50,2/5/2021,1,Niccolo,Bram,nbramn@unesco.org,768-811-0370
119,,Mydo,782783,$2430157.90,1/4/2020,0,,,,
120,,Tanoodle,30880,$296719.18,1/15/2022,1,,,,
121,,Agimba,485699,$42850.68,10/16/2021,1,,,,
122,,Demimbu,311664,$2365862.91,6/20/2020,1,,,,
123,,Mudo,103746,$2985375.13,5/2/2020,0,,,,
124,119.0,Eadel,140049,$1641044.11,2/2/2021,0,Pearline,Brigham,pbrigham2m@arizona.edu,804-164-3269
125,,Dabjam,959577,$165370.74,2/10/2021,0,,,,
126,,Mudo,133831,$1789257.40,11/10/2020,0,,,,
127,,Innojam,257043,$2218809.51,9/23/2020,1,,,,
128,,Linklinks,285372,$16526.10,1/12/2021,1,,,,
129,,Skajo,885928,$524095.53,8/24/2020,1,,,,
130,,Jaxnation,468779,$2883236.41,11/26/2021,0,,,,
131,,Edgetag,674489,$1084460.27,12/12/2020,0,,,,
132,,Flashspan,783693,$2818490.57,8/13/2021,0,,,,
133,,BlogXS,84963,$1981775.36,3/11/2022,1,,,,
134,109.0,Bubblemix,443969,$2788655.19,2/14/2021,1,Orelle,Rean,orean1p@yale.edu,596-440-3272
135,181.0,Yamia,358379,$1257420.24,9/6/2020,1,Ilario,Keedy,ikeedyk@cbslocal.com,202-879-2583
136,181.0,Yamia,664837,$177657.13,6/7/2021,1,Ilario,Keedy,ikeedyk@cbslocal.com,202-879-2583
137,,Fanoodle,228823,$1731476.45,3/5/2021,0,,,,
138,,Twitterworks,41744,$1512596.52,9/1/2020,0,,,,
139,,Divavu,949093,$917729.37,8/17/2020,0,,,,
140,,Tagcat,967997,$2998636.77,2/7/2020,0,,,,
141,,Feednation,878364,$1682279.57,8/5/2020,1,,,,
142,,Plajo,511236,$2245615.09,11/22/2021,0,,,,
143,,Tagcat,314678,$1137484.13,1/27/2021,1,,,,
144,137.0,Katz,651974,$1438626.42,1/23/2021,1,Duncan,Hanwright,dhanwright20@princeton.edu,702-684-3117
145,,Janyx,675541,$723457.91,6/19/2020,0,,,,
146,,Nlounge,381677,$1825920.13,5/2/2021,1,,,,
147,177.0,Twiyo,324793,$2277831.09,12/8/2020,1,Desdemona,McKeever,dmckeever24@tamu.edu,605-231-5184
148,,Aimbu,423278,$390359.47,3/5/2022,0,,,,
149,,Devify,753360,$2618134.82,7/8/2021,0,,,,
150,119.0,Eadel,719485,$1996551.91,11/23/2020,1,Pearline,Brigham,pbrigham2m@arizona.edu,804-164-3269
151,,Jetwire,732849,$159482.00,7/6/2020,1,,,,
152,130.0,Gabspot,458796,$2098437.51,2/28/2021,1,Abba,Marson,amarson1s@google.cn,796-327-4463
153,177.0,Twiyo,404480,$2798112.08,1/28/2022,1,Desdemona,McKeever,dmckeever24@tamu.edu,605-231-5184
154,,Geba,310913,$2053888.24,4/28/2021,0,,,,
155,,Riffwire,937106,$2467741.77,1/30/2020,0,,,,
156,,Youspan,689390,$538300.18,2/12/2021,1,,,,
157,165.0,Skaboo,442138,$2571688.78,5/7/2021,1,Mord,Cook,mcook1c@vistaprint.com,186-202-8396
158,,Browseblab,738648,$1686958.47,8/28/2020,0,,,,
159,,Skinix,460409,$784627.68,10/11/2021,0,,,,
160,115.0,Demivee,512911,$2155283.28,5/2/2020,0,Adamo,Matuszinski,amatuszinski4@topsy.com,677-300-0857
161,,Eidel,80596,$2519173.00,7/22/2021,0,,,,
162,158.0,Realcube,387499,$2376785.91,4/15/2021,0,Paul,Egan,pegan2i@cafepress.com,809-144-4834
163,,Brightdog,864162,$1341521.99,12/3/2021,1,,,,
164,,Skiba,858273,$698043.96,2/23/2021,0,,,,
165,,Chatterbridge,789874,$1796972.37,4/13/2020,0,,,,
166,,Meedoo,678061,$1571158.17,12/23/2020,0,,,,
167,,Browseblab,380844,$2133462.81,11/18/2020,0,,,,
168,,Quatz,240541,$1387554.72,4/16/2020,0,,,,
169,,Browsezoom,884449,$2325365.17,9/22/2021,1,,,,
170,135.0,Jayo,920553,$732966.20,8/3/2020,1,Maressa,Pickthall,mpickthall19@tripadvisor.com,951-232-9353
171,,Jaxnation,324649,$706551.35,4/6/2021,1,,,,
172,,Voolith,237291,$2605017.56,10/11/2021,0,,,,
173,,Chatterbridge,388352,$1059580.08,4/22/2021,1,,,,
174,115.0,Demivee,17912,$2759532.70,8/7/2021,0,Adamo,Matuszinski,amatuszinski4@topsy.com,677-300-0857
175,,Flashspan,91132,$277801.22,1/15/2022,1,,,,
176,,Tagcat,630992,$1947562.18,3/25/2021,0,,,,
177,,Dabjam,494804,$893637.33,8/3/2021,0,,,,
178,173.0,Thoughtstorm,122970,$2900267.26,7/3/2021,1,Bunni,Breen,bbreeny@go.com,557-916-7439
179,153.0,Photobug,754076,$1740631.07,10/14/2020,1,Pietra,McDill,pmcdillu@usa.gov,260-861-5130
180,,Vinte,309085,$639489.40,4/4/2021,0,,,,
181,,Jamia,967694,$2420843.95,12/23/2021,0,,,,
182,147.0,Mynte,290471,$2485117.08,7/20/2020,1,Darda,Iacapucci,diacapucci10@nbcnews.com,478-935-9950
183,179.0,Voonyx,589718,$1077777.57,5/2/2020,1,Ajay,Wince,awince1h@hugedomains.com,988-925-0054
184,,Skyba,527081,$1856171.11,10/8/2021,1,,,,
185,158.0,Realcube,986356,$2114222.21,3/15/2021,0,Paul,Egan,pegan2i@cafepress.com,809-144-4834
186,,Flipbug,529174,$1320707.58,10/27/2020,0,,,,
187,,Brightbean,884254,$857856.67,11/11/2020,0,,,,
188,,Realfire,454378,$2133179.38,7/23/2020,1,,,,
189,169.0,Skyvu,338596,$242988.59,8/28/2021,0,Rey,Salzen,rsalzen1u@wsj.com,266-555-7358
190,173.0,Thoughtstorm,90841,$421870.20,12/29/2021,0,Bunni,Breen,bbreeny@go.com,557-916-7439
191,,Blogspan,829805,$2977468.85,1/17/2022,0,,,,
192,,Yozio,536101,$613111.47,3/6/2020,0,,,,
193,,Babblestorm,276377,$1085964.09,3/29/2021,0,,,,
194,,Talane,173848,$1478477.56,10/3/2020,1,,,,
195,,Skajo,227133,$2293035.24,4/7/2021,0,,,,
196,,Fiveclub,248106,$933148.44,5/26/2021,0,,,,
197,,Viva,757556,$2940722.01,9/17/2020,0,,,,
198,,Wordpedia,966667,$319951.70,4/13/2020,0,,,,
199,,Izio,340489,$2861840.69,4/21/2021,1,,,,
200,102.0,Avamba,283697,$1910239.29,9/15/2021,0,Deb,Petruszka,dpetruszkas@1und1.de,496-125-6029
201,,Vipe,304910,$1033411.15,2/24/2020,1,,,,
202,,Divavu,169331,$1919073.10,7/21/2021,0,,,,
203,123.0,Fatz,756067,$80918.56,10/21/2021,0,Beitris,Jorioz,bjoriozt@dell.com,459-837-8157
204,,Devify,721011,$113545.04,8/17/2020,1,,,,
205,,Gigashots,295091,$108642.76,1/26/2021,1,,,,
206,,Edgeblab,172616,$2141404.03,11/3/2021,0,,,,
207,,Dabjam,916384,$782703.31,9/9/2020,1,,,,
208,,Tagopia,663638,$93467.05,4/27/2020,0,,,,
209,,Skajo,278725,$304464.86,4/1/2020,0,,,,
210,,Camido,553919,$2469835.56,10/5/2020,1,,,,
211,147.0,Mynte,56576,$516340.79,2/3/2022,0,Darda,Iacapucci,diacapucci10@nbcnews.com,478-935-9950
212,,Talane,130873,$1512345.21,1/10/2022,1,,,,
213,,Divanoodle,379562,$1893324.62,12/31/2020,0,,,,
214,139.0,Leenti,704092,$1952532.03,1/12/2022,0,Leona,Murricanes,lmurricanes1j@surveymonkey.com,114-571-4885
215,105.0,Brainbox,695004,$372557.39,1/24/2021,0,Jodie,Francombe,jfrancombew@google.com.hk,117-975-1987
216,,Shuffletag,529861,$1439871.37,11/16/2021,0,,,,
217,,Voomm,41712,$249824.89,11/28/2021,1,,,,
218,,Mydeo,503203,$1109598.24,12/22/2021,1,,,,
219,,Kayveo,552104,$2707287.59,2/7/2020,0,,,,
220,161.0,Rhyloo,751599,$2668038.91,3/18/2020,0,Sasha,Clewley,sclewley29@mac.com,179-334-7720
221,,Pixope,28107,$383205.91,2/17/2021,0,,,,
222,,Trudeo,543546,$2156900.15,11/18/2020,0,,,,
223,165.0,Skaboo,483467,$2938392.27,6/7/2020,0,Mord,Cook,mcook1c@vistaprint.com,186-202-8396
224,,Trilith,648241,$210857.31,2/1/2022,0,,,,
225,,Quire,634693,$604166.42,10/2/2020,0,,,,
226,,Leexo,291429,$2045910.29,10/12/2020,0,,,,
227,,Fliptune,667954,$2020987.12,3/14/2021,0,,,,
228,,Yozio,425677,$2641030.68,4/18/2020,0,,,,
229,,Thoughtbeat,293534,$2404151.46,11/13/2021,0,,,,
230,174.0,Topicshots,524643,$2551780.58,12/22/2020,0,Ajay,Hamley,ahamley2j@narod.ru,239-907-2012
231,,Vimbo,312440,$1468540.20,5/29/2020,1,,,,
232,,Skinix,177292,$2975650.25,8/27/2020,1,,,,
233,,Quatz,774956,$2713091.93,12/29/2021,0,,,,
234,123.0,Fatz,785263,$2490851.80,1/2/2022,0,Beitris,Jorioz,bjoriozt@dell.com,459-837-8157
235,,Tazzy,199471,$2149006.07,8/18/2020,1,,,,
236,,Feedspan,813723,$2125771.02,7/12/2020,1,,,,
237,,Centimia,721547,$2180065.83,10/23/2021,1,,,,
238,,Dabshots,313110,$817865.55,11/22/2021,0,,,,
239,141.0,Livetube,747912,$2217576.70,12/22/2020,0,Teador,MacPike,tmacpikej@narod.ru,406-711-8877
240,,Mymm,102005,$2156582.12,10/7/2020,1,,,,
241,141.0,Livetube,848896,$36371.17,2/13/2021,1,Teador,MacPike,tmacpikej@narod.ru,406-711-8877
242,160.0,Rhybox,999738,$2339948.27,6/1/2020,1,Margarita,Philippault,mphilippault1z@issuu.com,952-964-5965
243,,Devpulse,625682,$477170.01,12/28/2021,1,,,,
244,,Devpulse,575284,$2705209.67,4/30/2020,1,,,,
245,154.0,Photofeed,503343,$2253158.71,7/13/2020,0,Sharyl,Billany,sbillany27@github.io,315-769-9653
246,,Voolith,629979,$407021.58,2/28/2020,0,,,,
247,131.0,Gabtype,716561,$2852184.42,11/11/2020,0,Briney,Robinet,brobinet2p@google.com,410-515-0856
248,,Trilia,604659,$2203600.34,5/31/2021,1,,,,
249,,Skinder,797343,$134190.77,12/17/2021,0,,,,
250,,Innotype,462467,$2064400.05,6/16/2021,1,,,,
251,,Voomm,547030,$372644.26,5/20/2021,1,,,,
252,,Lajo,417710,$2457565.10,11/30/2021,0,,,,
253,,Trudeo,520954,$2769145.02,5/22/2021,0,,,,
254,,Youspan,939943,$148543.54,1/2/2020,1,,,,
255,,Edgepulse,67059,$537315.03,3/3/2020,0,,,,
256,,Bluejam,36646,$1351418.50,8/5/2021,0,,,,
257,,Skinder,585074,$1669731.44,8/17/2021,1,,,,
258,,Divavu,378968,$2314793.76,1/18/2022,1,,,,
259,147.0,Mynte,274626,$2775175.92,3/9/2022,1,Darda,Iacapucci,diacapucci10@nbcnews.com,478-935-9950
260,166.0,Skalith,701315,$2371086.00,1/21/2022,0,Mandi,Syseland,msyseland12@amazon.com,297-145-1163
261,,Wikizz,945319,$2449739.55,10/9/2021,1,,,,
262,,Quimm,238895,$271053.08,3/3/2022,0,,,,
263,,Yakitri,392528,$1540217.06,2/23/2020,0,,,,
264,,Trudoo,244171,$842630.77,10/25/2021,1,,,,
265,,Camido,943630,$2960754.65,1/8/2022,0,,,,
266,,Jaxspan,52653,$2122016.08,1/11/2022,0,,,,
267,,Zoomdog,955265,$717549.13,7/9/2021,1,,,,
268,,Centizu,146848,$1649141.48,6/25/2021,1,,,,
269,,Cogibox,965833,$1130703.11,2/5/2022,0,,,,
270,153.0,Photobug,730697,$2565270.69,12/22/2021,0,Pietra,McDill,pmcdillu@usa.gov,260-861-5130
271,,Eabox,405393,$2629074.00,8/11/2020,0,,,,
272,,Youspan,88024,$450312.72,7/23/2021,1,,,,
273,,Linktype,963012,$482649.75,3/18/2021,1,,,,
274,137.0,Katz,160143,$1630493.60,2/24/2022,0,Duncan,Hanwright,dhanwright20@princeton.edu,702-684-3117
275,,Eimbee,300847,$452444.58,2/26/2022,1,,,,
276,,Yotz,68229,$1531507.48,5/25/2020,0,,,,
277,,Fanoodle,52770,$2076494.16,2/24/2020,0,,,,
278,,Gigashots,230110,$1964334.01,8/17/2020,0,,,,
279,,Blogpad,637582,$1873422.28,2/27/2020,0,,,,
280,,Wikivu,413681,$2352805.36,9/8/2020,1,,,,
281,,Jabbercube,258889,$1847268.72,1/29/2021,0,,,,
282,151.0,Oozz,776606,$2195569.49,7/5/2021,1,Marje,Weldon,mweldon1t@toplist.cz,771-712-8373
283,,Quimba,592822,$638709.79,9/17/2020,1,,,,
284,,Jaxworks,679974,$359920.93,2/28/2020,0,,,,
285,,Trupe,690173,$2945474.49,7/8/2020,1,,,,
286,,Abatz,413706,$2178756.56,11/26/2020,0,,,,
287,,Topicblab,422305,$1762869.75,4/8/2021,0,,,,
288,,Dabjam,606647,$964349.02,10/25/2021,1,,,,
289,154.0,Photofeed,825031,$763418.03,7/22/2021,1,Sharyl,Billany,sbillany27@github.io,315-769-9653
290,158.0,Realcube,423571,$2840076.95,1/9/2020,0,Paul,Egan,pegan2i@cafepress.com,809-144-4834
291,,Tagchat,248270,$146003.08,3/10/2020,0,,,,
292,118.0,Dynabox,853700,$965377.80,3/16/2021,0,Paul,Vittori,pvittori2c@psu.edu,348-431-0758
293,,Dabjam,449630,$849899.57,8/21/2020,0,,,,
294,,Twimm,785124,$1703753.09,12/15/2021,1,,,,
295,,Zoonder,172640,$970244.29,1/10/2020,0,,,,
296,159.0,Reallinks,685850,$192407.54,11/9/2020,1,Brietta,Hazel,bhazelo@posterous.com,857-540-1539
297,170.0,Tagfeed,405036,$371332.41,7/25/2020,0,Dieter,Satchel,dsatchel8@indiatimes.com,932-555-7149
298,171.0,Tagfeed,405036,$371332.41,7/25/2020,0,Blakelee,O'Scanlon,boscanlon26@imdb.com,834-491-0107
299,160.0,Rhybox,216936,$1465437.30,1/11/2021,1,Margarita,Philippault,mphilippault1z@issuu.com,952-964-5965
300,,Shufflebeat,637050,$2625009.64,12/26/2021,1,,,,
301,147.0,Mynte,503997,$185883.37,2/8/2020,1,Darda,Iacapucci,diacapucci10@nbcnews.com,478-935-9950
302,,Flipopia,485004,$2164030.89,4/10/2021,1,,,,
303,,Skibox,59130,$1478399.84,3/22/2020,0,,,,
304,,Skippad,324952,$2116481.02,6/30/2020,1,,,,
305,,Vitz,704523,$380781.53,8/18/2020,0,,,,
306,,Dynazzy,636741,$792906.07,6/3/2021,1,,,,
307,,Yombu,490189,$2185983.21,12/9/2020,0,,,,
308,,Tagopia,437351,$1708052.16,6/22/2020,0,,,,
309,173.0,Thoughtstorm,718410,$2906707.24,2/17/2021,0,Bunni,Breen,bbreeny@go.com,557-916-7439
310,,Roomm,916238,$2139521.00,8/28/2021,0,,,,
311,,Mymm,872115,$326883.81,1/4/2020,1,,,,
312,,Skimia,910416,$2757205.33,1/19/2022,1,,,,
313,138.0,Kazu,453612,$2493473.11,2/2/2022,0,Stacee,Langford,slangford2o@mozilla.com,474-959-0252
314,158.0,Realcube,646688,$2592668.61,2/21/2020,1,Paul,Egan,pegan2i@cafepress.com,809-144-4834
315,107.0,Browsebug,536985,$723097.99,9/30/2021,1,Tobie,Arran,tarranv@networkadvertising.org,965-262-4990
316,,Voonte,475937,$1770486.59,9/5/2020,1,,,,
317,,Eayo,910424,$1196191.20,12/14/2020,0,,,,
318,156.0,Quinu,14312,$717413.31,12/13/2020,1,Amitie,Wybrew,awybrew1b@feedburner.com,544-522-7384
319,,Ooba,955527,$2729249.34,3/13/2022,1,,,,
320,,Yakijo,684408,$57279.77,7/26/2020,1,,,,
321,,Tagopia,730758,$1937209.58,9/28/2020,0,,,,
322,,Wordtune,898242,$2052952.03,11/8/2021,0,,,,
323,114.0,Dazzlesphere,127760,$1002851.89,9/10/2020,1,Orlan,Pynner,opynner1o@goo.gl,483-724-2511
324,,Fivebridge,223421,$437727.54,5/14/2021,0,,,,
325,,Digitube,926037,$1902034.22,12/30/2020,0,,,,
326,,Flipbug,182697,$2046359.11,10/27/2021,1,,,,
327,,Dynava,93445,$355006.46,6/2/2020,0,,,,
328,,Ailane,410669,$2014798.42,12/28/2021,1,,,,
329,,Trudeo,427349,$2952879.67,5/23/2021,1,,,,
330,,Kwilith,821451,$702889.30,3/31/2020,0,,,,
331,,Viva,244600,$2274528.59,2/16/2021,1,,,,
332,154.0,Photofeed,117430,$2587750.08,3/10/2020,0,Sharyl,Billany,sbillany27@github.io,315-769-9653
333,,Pixope,796824,$948831.44,4/14/2021,1,,,,
334,,Devpoint,206263,$186180.29,2/14/2022,1,,,,
335,,Fivechat,173902,$1031480.12,1/16/2020,0,,,,
336,,Youopia,208710,$2821513.82,5/3/2021,0,,,,
337,,Photolist,546391,$1427129.93,5/30/2020,0,,,,
338,,Devshare,892042,$1500575.41,9/20/2021,1,,,,
339,,Meevee,899178,$1815555.83,8/15/2021,0,,,,
340,,Viva,474955,$2746212.25,9/16/2021,0,,,,
341,,Lazzy,243906,$2305977.49,5/13/2020,1,,,,
342,,Rooxo,761697,$988711.89,2/10/2020,1,,,,
343,,Skippad,276988,$448965.30,8/20/2021,0,,,,
344,,Jabbersphere,493424,$2192166.82,1/15/2021,1,,,,
345,,Twinder,442394,$2277898.22,12/26/2021,0,,,,
346,,Quaxo,720082,$1154545.58,12/29/2020,1,,,,
347,143.0,Meetz,395222,$965276.48,8/31/2020,1,Alphonse,Warboy,awarboyf@cnet.com,882-471-0035
348,,Kwilith,213973,$2740451.88,4/22/2020,0,,,,
349,,Centizu,984610,$259558.37,1/10/2020,0,,,,
350,,Zoombox,585515,$588502.24,12/11/2021,0,,,,
351,,Zava,397879,$160391.11,6/14/2020,1,,,,
352,,Oyoba,284377,$1160137.43,4/21/2021,0,,,,
353,,Oyoyo,370873,$2462778.23,6/13/2020,0,,,,
354,,Photolist,764052,$1540781.37,10/20/2020,1,,,,
355,,Babbleblab,944193,$2323611.57,7/30/2020,0,,,,
356,,Lazzy,823653,$1134241.12,10/15/2020,0,,,,
357,,Twitterworks,658808,$1758626.84,12/19/2020,1,,,,
358,143.0,Meetz,412987,$740083.57,8/22/2021,1,Alphonse,Warboy,awarboyf@cnet.com,882-471-0035
